epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
36,1620,0.0054,0.0054,0.0222,0.0222
36,2160,0.0066,0.0066,0.0152,0.0152
36,2700,0.0097,0.0097,0.0193,0.0193
36,3240,0.0073,0.0073,0.0157,0.0157
36,3780,0.0171,0.0171,0.025,0.025
36,4320,0.0112,0.0112,0.0217,0.0217
36,4860,0.0083,0.0083,0.0201,0.0201
37,0,0.0099,0.0099,0.0214,0.0214
37,540,0.0073,0.0073,0.0289,0.0289
37,1080,0.0089,0.0089,0.0147,0.0147
37,1620,0.0074,0.0074,0.0242,0.0242
37,2160,0.006,0.006,0.0269,0.0269
37,2700,0.0111,0.0111,0.0224,0.0224
37,3240,0.0068,0.0068,0.0295,0.0295
37,3780,0.0139,0.0139,0.0238,0.0238
37,4320,0.0097,0.0097,0.0237,0.0237
37,4860,0.0106,0.0106,0.016,0.016
38,0,0.0108,0.0108,0.0204,0.0204
38,540,0.006,0.006,0.0169,0.0169
38,1080,0.0167,0.0167,0.0206,0.0206
38,1620,0.0083,0.0083,0.017,0.017
38,2160,0.0055,0.0055,0.025,0.025
38,2700,0.0101,0.0101,0.0175,0.0175
38,3240,0.006,0.006,0.0183,0.0183
38,3780,0.0153,0.0153,0.0224,0.0224
38,4320,0.0169,0.0169,0.0195,0.0195
38,4860,0.0113,0.0113,0.029,0.029
39,0,0.0133,0.0133,0.0198,0.0198
39,540,0.0051,0.0051,0.0189,0.0189
39,1080,0.0128,0.0128,0.019,0.019
39,1620,0.0051,0.0051,0.0188,0.0188
39,2160,0.0066,0.0066,0.0168,0.0168
39,2700,0.0113,0.0113,0.0287,0.0287
39,3240,0.006,0.006,0.0256,0.0256
39,3780,0.0142,0.0142,0.0261,0.0261
39,4320,0.0102,0.0102,0.026,0.026
39,4860,0.0062,0.0062,0.0358,0.0358
40,0,0.0175,0.0175,0.0286,0.0286
40,540,0.005,0.005,0.0324,0.0324
40,1080,0.0086,0.0086,0.024,0.024
40,1620,0.0071,0.0071,0.0187,0.0187
40,2160,0.0064,0.0064,0.0192,0.0192
40,2700,0.007,0.007,0.021,0.021
40,3240,0.0078,0.0078,0.0253,0.0253
40,3780,0.0153,0.0153,0.0346,0.0346
40,4320,0.0108,0.0108,0.0304,0.0304
40,4860,0.0087,0.0087,0.013,0.013
41,0,0.0091,0.0091,0.0163,0.0163
41,540,0.0052,0.0052,0.021,0.021
41,1080,0.0127,0.0127,0.021,0.021
41,1620,0.0096,0.0096,0.0179,0.0179
41,2160,0.0057,0.0057,0.0213,0.0213
41,2700,0.0084,0.0084,0.0205,0.0205
41,3240,0.0055,0.0055,0.0261,0.0261
41,3780,0.0136,0.0136,0.0324,0.0324
41,4320,0.0109,0.0109,0.0266,0.0266
41,4860,0.0098,0.0098,0.0153,0.0153
42,0,0.0098,0.0098,0.0206,0.0206
42,540,0.005,0.005,0.026,0.026
42,1080,0.013,0.013,0.0219,0.0219
42,1620,0.0068,0.0068,0.0146,0.0146
42,2160,0.0046,0.0046,0.0131,0.0131
42,2700,0.0088,0.0088,0.0231,0.0231
42,3240,0.0062,0.0062,0.0215,0.0215
42,3780,0.0191,0.0191,0.0261,0.0261
42,4320,0.009,0.009,0.0215,0.0215
42,4860,0.0089,0.0089,0.0165,0.0165
43,0,0.0091,0.0091,0.0214,0.0214
43,540,0.0071,0.0071,0.0228,0.0228
43,1080,0.009,0.009,0.0221,0.0221
43,1620,0.005,0.005,0.0183,0.0183
43,2160,0.0074,0.0074,0.0214,0.0214
43,2700,0.0089,0.0089,0.0223,0.0223
43,3240,0.0081,0.0081,0.0244,0.0244
43,3780,0.0159,0.0159,0.0232,0.0232
43,4320,0.0061,0.0061,0.0169,0.0169
43,4860,0.0092,0.0092,0.0163,0.0163
44,0,0.007,0.007,0.0166,0.0166
44,540,0.006,0.006,0.0136,0.0136
44,1080,0.0129,0.0129,0.0224,0.0224
44,1620,0.006,0.006,0.0137,0.0137
44,2160,0.0101,0.0101,0.0233,0.0233
44,2700,0.0155,0.0155,0.0153,0.0153
44,3240,0.009,0.009,0.0154,0.0154
44,3780,0.017,0.017,0.025,0.025
44,4320,0.0086,0.0086,0.0269,0.0269
44,4860,0.0083,0.0083,0.0248,0.0248
45,0,0.0084,0.0084,0.0249,0.0249
45,540,0.0054,0.0054,0.0177,0.0177
45,1080,0.0104,0.0104,0.0185,0.0185
45,1620,0.0067,0.0067,0.0397,0.0397
45,2160,0.0116,0.0116,0.0229,0.0229
45,2700,0.0182,0.0182,0.0251,0.0251
45,3240,0.0069,0.0069,0.0285,0.0285
45,3780,0.0122,0.0122,0.0319,0.0319
45,4320,0.0095,0.0095,0.0205,0.0205
45,4860,0.0103,0.0103,0.0285,0.0285
46,0,0.0075,0.0075,0.028,0.028
46,540,0.005,0.005,0.0224,0.0224
46,1080,0.0076,0.0076,0.0316,0.0316
46,1620,0.0048,0.0048,0.0183,0.0183
46,2160,0.0079,0.0079,0.0325,0.0325
46,2700,0.0071,0.0071,0.0236,0.0236
46,3240,0.0054,0.0054,0.0224,0.0224
46,3780,0.01,0.01,0.0177,0.0177
46,4320,0.0078,0.0078,0.0216,0.0216
46,4860,0.0132,0.0132,0.029,0.029
47,0,0.0102,0.0102,0.0237,0.0237
47,540,0.0057,0.0057,0.013,0.013
47,1080,0.0071,0.0071,0.0183,0.0183
47,1620,0.0067,0.0067,0.0204,0.0204
47,2160,0.0079,0.0079,0.019,0.019
47,2700,0.0077,0.0077,0.0182,0.0182
47,3240,0.0058,0.0058,0.0219,0.0219
47,3780,0.0103,0.0103,0.0246,0.0246
47,4320,0.0074,0.0074,0.0193,0.0193
