epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
29,4860,0.0819,0.0819,0.0886,0.0886
30,0,0.1065,0.1065,0.0981,0.0981
30,540,0.0673,0.0673,0.0821,0.0821
30,1080,0.1631,0.1631,0.1044,0.1044
30,1620,0.0836,0.0836,0.1159,0.1159
30,2160,0.0917,0.0917,0.1134,0.1134
30,2700,0.0814,0.0814,0.1027,0.1027
30,3240,0.0638,0.0638,0.0814,0.0814
30,3780,0.0895,0.0895,0.1426,0.1426
30,4320,0.0906,0.0906,0.1002,0.1002
30,4860,0.0929,0.0929,0.0773,0.0773
31,0,0.1003,0.1003,0.1088,0.1088
31,540,0.0686,0.0686,0.0851,0.0851
31,1080,0.1327,0.1327,0.0994,0.0994
31,1620,0.0839,0.0839,0.1238,0.1238
31,2160,0.0955,0.0955,0.0947,0.0947
31,2700,0.0865,0.0865,0.0853,0.0853
31,3240,0.0742,0.0742,0.0658,0.0658
31,3780,0.1085,0.1085,0.12,0.12
31,4320,0.088,0.088,0.11,0.11
31,4860,0.0988,0.0988,0.1057,0.1057
32,0,0.0978,0.0978,0.0863,0.0863
32,540,0.0705,0.0705,0.104,0.104
32,1080,0.1197,0.1197,0.0758,0.0758
32,1620,0.0816,0.0816,0.0789,0.0789
32,2160,0.0878,0.0878,0.1138,0.1138
32,2700,0.0742,0.0742,0.1082,0.1082
32,3240,0.0664,0.0664,0.0917,0.0917
32,3780,0.0931,0.0931,0.0759,0.0759
32,4320,0.0884,0.0884,0.0953,0.0953
32,4860,0.1048,0.1048,0.0808,0.0808
33,0,0.1033,0.1033,0.1103,0.1103
33,540,0.0771,0.0771,0.0809,0.0809
33,1080,0.1105,0.1105,0.0881,0.0881
33,1620,0.0848,0.0848,0.0875,0.0875
33,2160,0.0984,0.0984,0.0794,0.0794
33,2700,0.0662,0.0662,0.0992,0.0992
33,3240,0.0661,0.0661,0.1073,0.1073
33,3780,0.0956,0.0956,0.0899,0.0899
33,4320,0.1048,0.1048,0.1006,0.1006
33,4860,0.1057,0.1057,0.0654,0.0654
34,0,0.117,0.117,0.0956,0.0956
34,540,0.0727,0.0727,0.1589,0.1589
34,1080,0.1047,0.1047,0.0935,0.0935
34,1620,0.0812,0.0812,0.0809,0.0809
34,2160,0.0915,0.0915,0.1046,0.1046
34,2700,0.0685,0.0685,0.0999,0.0999
34,3240,0.0616,0.0616,0.1073,0.1073
34,3780,0.1014,0.1014,0.0947,0.0947
34,4320,0.1064,0.1064,0.0973,0.0973
34,4860,0.1212,0.1212,0.1095,0.1095
35,0,0.1246,0.1246,0.1234,0.1234
35,540,0.0669,0.0669,0.1301,0.1301
35,1080,0.0942,0.0942,0.0856,0.0856
35,1620,0.0844,0.0844,0.097,0.097
35,2160,0.0809,0.0809,0.0833,0.0833
35,2700,0.0682,0.0682,0.1096,0.1096
35,3240,0.0569,0.0569,0.0668,0.0668
35,3780,0.0944,0.0944,0.0987,0.0987
35,4320,0.0897,0.0897,0.0877,0.0877
35,4860,0.1058,0.1058,0.0927,0.0927
36,0,0.1087,0.1087,0.0982,0.0982
36,540,0.0783,0.0783,0.0983,0.0983
36,1080,0.0928,0.0928,0.0803,0.0803
36,1620,0.0838,0.0838,0.0754,0.0754
36,2160,0.0864,0.0864,0.097,0.097
36,2700,0.0608,0.0608,0.1126,0.1126
36,3240,0.0582,0.0582,0.1206,0.1206
36,3780,0.1051,0.1051,0.0829,0.0829
36,4320,0.0966,0.0966,0.1055,0.1055
36,4860,0.1104,0.1104,0.0787,0.0787
37,0,0.1032,0.1032,0.1033,0.1033
37,540,0.0476,0.0476,0.1028,0.1028
37,1080,0.0911,0.0911,0.1149,0.1149
37,1620,0.081,0.081,0.0934,0.0934
37,2160,0.0898,0.0898,0.076,0.076
37,2700,0.055,0.055,0.0795,0.0795
37,3240,0.0575,0.0575,0.0923,0.0923
37,3780,0.0969,0.0969,0.0809,0.0809
37,4320,0.0943,0.0943,0.0916,0.0916
37,4860,0.1029,0.1029,0.1021,0.1021
38,0,0.101,0.101,0.0999,0.0999
38,540,0.0467,0.0467,0.1031,0.1031
38,1080,0.1005,0.1005,0.0688,0.0688
38,1620,0.0828,0.0828,0.0889,0.0889
38,2160,0.0839,0.0839,0.1047,0.1047
38,2700,0.0596,0.0596,0.0694,0.0694
38,3240,0.0524,0.0524,0.0841,0.0841
38,3780,0.082,0.082,0.0642,0.0642
38,4320,0.0881,0.0881,0.108,0.108
38,4860,0.0809,0.0809,0.1111,0.1111
39,0,0.1041,0.1041,0.0923,0.0923
39,540,0.0462,0.0462,0.0961,0.0961
39,1080,0.0801,0.0801,0.0908,0.0908
39,1620,0.1056,0.1056,0.0716,0.0716
39,2160,0.0825,0.0825,0.0611,0.0611
39,2700,0.0618,0.0618,0.0717,0.0717
39,3240,0.0613,0.0613,0.0917,0.0917
39,3780,0.0911,0.0911,0.0805,0.0805
39,4320,0.0854,0.0854,0.1258,0.1258
39,4860,0.0816,0.0816,0.0715,0.0715
